DEBUG 2024-08-02 16:35:43,375 autoreload File C:\Users\bossf\Lib\asyncio\queues.py first seen with mtime 1666658048.0
DEBUG 2024-08-02 16:35:43,376 autoreload File C:\Users\bossf\Downloads\market_connect\env\Lib\site-packages\django\db\migrations\migration.py first seen with mtime 1722450069.1258836
DEBUG 2024-08-02 16:35:43,377 autoreload File C:\Users\bossf\Lib\asyncio\events.py first seen with mtime 1666658048.0
DEBUG 2024-08-02 16:35:43,377 autoreload File C:\Users\bossf\Downloads\market_connect\env\Lib\site-packages\django\test\html.py first seen with mtime 1722450069.3698783
DEBUG 2024-08-02 16:35:43,378 autoreload File C:\Users\bossf\Downloads\market_connect\env\Lib\site-packages\django\utils\deconstruct.py first seen with mtime 1722450069.400879
DEBUG 2024-08-02 16:35:43,379 autoreload File C:\Users\bossf\Downloads\market_connect\env\Lib\site-packages\rest_framework\utils\urls.py first seen with mtime 1722450079.624882
DEBUG 2024-08-02 16:35:43,380 autoreload File C:\Users\bossf\Lib\lzma.py first seen with mtime 1666658048.0
DEBUG 2024-08-02 16:35:43,380 autoreload File C:\Users\bossf\Downloads\market_connect\env\Lib\site-packages\django\db\models\base.py first seen with mtime 1722450069.1438787
DEBUG 2024-08-02 16:35:43,381 autoreload File C:\Users\bossf\Downloads\market_connect\env\Lib\site-packages\django\conf\global_settings.py first seen with mtime 1722450064.9238794
DEBUG 2024-08-02 16:35:43,381 autoreload File C:\Users\bossf\Downloads\market_connect\env\Lib\site-packages\django\db\backends\postgresql\introspection.py first seen with mtime 1722450069.1038785
DEBUG 2024-08-02 16:35:43,382 autoreload File C:\Users\bossf\Downloads\market_connect\env\Lib\site-packages\django\core\files\images.py first seen with mtime 1722450068.985881
DEBUG 2024-08-02 16:35:43,382 autoreload File C:\Users\bossf\Lib\pkgutil.py first seen with mtime 1666658048.0
DEBUG 2024-08-02 16:35:43,383 autoreload File C:\Users\bossf\Downloads\market_connect\env\Lib\site-packages\django\contrib\staticfiles\checks.py first seen with mtime 1722450068.93289
DEBUG 2024-08-02 16:35:43,384 autoreload File C:\Users\bossf\Downloads\market_connect\env\Lib\site-packages\django\contrib\postgres\utils.py first seen with mtime 1722450067.794879
DEBUG 2024-08-02 16:35:43,384 autoreload File C:\Users\bossf\Downloads\market_connect\env\Lib\site-packages\django\contrib\contenttypes\checks.py first seen with mtime 1722450066.591883
DEBUG 2024-08-02 16:35:43,385 autoreload File C:\Users\bossf\Lib\unittest\suite.py first seen with mtime 1666658048.0
DEBUG 2024-08-02 16:35:43,385 autoreload File C:\Users\bossf\Lib\unittest\util.py first seen with mtime 1666658048.0
DEBUG 2024-08-02 16:35:43,386 autoreload File C:\Users\bossf\Lib\asyncio\exceptions.py first seen with mtime 1666658048.0
DEBUG 2024-08-02 16:35:43,386 autoreload File C:\Users\bossf\Lib\__future__.py first seen with mtime 1666658048.0
DEBUG 2024-08-02 16:35:43,387 autoreload File C:\Users\bossf\Downloads\market_connect\env\Lib\site-packages\django\utils\functional.py first seen with mtime 1722450069.407881
DEBUG 2024-08-02 16:35:43,387 autoreload File C:\Users\bossf\Lib\hashlib.py first seen with mtime 1666658048.0
